Catchment,Constituent,Units,KPHD_Station,Location_ID,Date,DateTime,Value
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2013-10-15,2013-10-15 11:14:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2013-11-14,2013-11-14 10:40:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2013-12-18,2013-12-18 11:35:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2014-01-10,2014-01-10 10:24:00,20.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2014-02-10,2014-02-10 11:10:00,380.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2014-03-12,2014-03-12 11:17:00,20.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2014-04-22,2014-04-22 10:52:00,330.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2014-05-22,2014-05-22 11:20:00,70.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2014-06-04,2014-06-04 11:20:00,100.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2014-07-10,2014-07-10 11:35:00,70.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2014-08-06,2014-08-06 11:10:00,40.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2014-09-10,2014-09-10 11:37:00,110.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2014-10-08,2014-10-08 11:05:00,100.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2014-11-05,2014-11-05 10:31:00,40.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2014-12-02,2014-12-02 10:55:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2015-01-07,2015-01-07 11:13:00,60.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2015-02-17,2015-02-17 12:10:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2015-03-18,2015-03-18 11:50:00,160.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2015-04-14,2015-04-14 11:59:00,70.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2015-05-12,2015-05-12 11:58:00,500.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2015-06-22,2015-06-22 11:37:00,190.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2015-07-13,2015-07-13 12:30:00,280.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2015-08-18,2015-08-18 11:50:00,130.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2015-09-16,2015-09-16 09:49:00,60.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2015-10-27,2015-10-27 10:23:00,50.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2015-11-10,2015-11-10 10:25:00,20.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2015-12-21,2015-12-21 10:08:00,310.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2016-01-13,2016-01-13 10:54:00,290.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2016-02-10,2016-02-10 11:30:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2016-03-09,2016-03-09 10:50:00,110.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2016-04-12,2016-04-12 11:07:00,70.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2016-05-17,2016-05-17 11:19:00,110.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2016-06-15,2016-06-15 12:23:00,50.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2016-07-13,2016-07-13 11:53:00,240.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2016-08-16,2016-08-16 10:33:00,80.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2016-09-13,2016-09-13 11:00:00,60.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2016-10-11,2016-10-11 11:30:00,60.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2016-11-22,2016-11-22 08:04:00,150.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2016-12-12,2016-12-12 11:48:00,20.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2017-01-13,2017-01-13 10:21:00,40.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2017-02-01,2017-02-01 10:03:00,50.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2017-03-10,2017-03-10 11:10:00,110.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2017-04-13,2017-04-13 11:10:00,60.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2017-05-09,2017-05-09 09:44:00,170.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2017-06-08,2017-06-08 11:05:00,340.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2017-07-10,2017-07-10 10:22:00,150.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2017-08-02,2017-08-02 11:10:00,80.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2017-09-06,2017-09-06 11:40:00,160.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2017-10-03,2017-10-03 10:43:00,20.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2017-11-01,2017-11-01 10:20:00,40.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2017-12-12,2017-12-12 08:52:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-01-03,2018-01-03 10:59:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-02-01,2018-02-01 10:25:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-03-01,2018-03-01 11:08:00,100.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-04-03,2018-04-03 11:04:00,50.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-05-02,2018-05-02 11:05:00,30.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-06-12,2018-06-12 10:22:00,130.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-07-03,2018-07-03 12:25:00,40.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-08-07,2018-08-07 11:45:00,100.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-09-05,2018-09-05 11:01:00,20.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-10-02,2018-10-02 10:36:00,20.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-10-02,2018-10-02 10:36:00,10.0
