Catchment,GAName,Constituent,Units,WA_DOH_Station,StationNum,Date,DateTime,Value
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,4.5
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,7.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,70.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,49.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,240.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,130.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,7.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,4.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,4.5
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,4.5
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,13.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,33.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,70.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,4.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,49.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,79.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,95.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.8
